,name,rating,review_count,price,distance,category,latitude,longitude
118,George Restaurant,4.5,295,$$$$,1289.5072541711716,,43.657763,-79.389165
119,Seven Lives Tacos y Mariscos,4.5,1470,$,1006.6303824096711,,43.657763,-79.389165
120,KINKA IZAKAYA ORIGINAL,4.0,1804,$$,513.829541801903,,43.656729,-79.382736
121,Richmond Station,4.5,887,$$$,657.1055129257962,,43.656729,-79.382736
122,The Queen And Beaver Public House,4.0,409,$$,82.12766739073525,,43.656729,-79.382736
123,Barberian's Steak House,4.0,316,$$$$,108.22636118787635,,43.656729,-79.382736
124,George Restaurant,4.5,295,$$$$,772.4602915456766,,43.656729,-79.382736
125,Sansotei Ramen,4.0,938,$$,355.8693090839165,,43.656729,-79.382736
126,Dzo Viet Eatery,4.0,142,$$,770.9022167147624,,43.656729,-79.382736
127,Katsuya,4.5,488,$$,481.8277558790343,,43.656729,-79.382736
128,Pai Northern Thai Kitchen,4.5,3398,$$,1095.5910142176267,,43.656729,-79.382736
129,Adega Restaurante,4.0,161,$$$,75.9289888086432,,43.656729,-79.382736
130,Blaze Pizza,4.5,583,$$,217.7796231574596,,43.656729,-79.382736
131,Eggspectation,4.0,764,$$,402.65854857511636,,43.656729,-79.382736
132,The Carbon Bar,4.0,411,$$$,751.0467130573808,,43.656729,-79.382736
133,Konjiki Ramen Downtown,4.0,112,$$,96.1105236193411,,43.656729,-79.382736
134,Cactus Club Cafe,4.0,591,$$,803.550734362122,,43.656729,-79.382736
135,Moon Palace,4.0,56,,65.11778744692941,,43.656729,-79.382736
136,DonDon Izakaya,3.0,338,$$,190.92155652761573,,43.656729,-79.382736
137,The Senator,4.0,491,$$,320.2991263055549,,43.656729,-79.382736
138,Donatello Restaurant,4.0,183,$$$,97.54129104066764,,43.656729,-79.382736
139,Ikkousha Ramen,4.5,298,$$,830.7793428363016,,43.656729,-79.382736
140,Insomnia Restaurant & Lounge,4.0,1015,$$,346.4745854459776,,43.664467,-79.414783
141,KINKA IZAKAYA ANNEX,4.0,504,$$,340.5592293205576,,43.664467,-79.414783
142,Korean Village Restaurant,4.0,413,$$,28.68956624967066,,43.664467,-79.414783
143,Rasa,4.5,321,$$,890.0388310101379,,43.664467,-79.414783
144,Her Father's Cider Bar & Kitchen,4.5,188,$$,856.3421813832581,,43.664467,-79.414783
145,Her Chef,4.5,63,$$,147.54824326655626,,43.664467,-79.414783
146,Hodo Kwaja,4.5,242,$,65.93742111190076,,43.664467,-79.414783
147,Ramen Isshin,4.5,803,$$,1107.2714741380544,,43.664467,-79.414783
148,Yummy Korean Food Restaurant,4.0,273,$,62.04971461550738,,43.664467,-79.414783
149,Bar Raval,4.0,319,$$$,1034.9411597210153,,43.664467,-79.414783
150,Bar Isabel,4.0,467,$$$,1194.0207387370665,,43.664467,-79.414783
151,DaiLo,4.0,320,$$$,1036.1332748951286,,43.664467,-79.414783
152,Daldongnae,4.5,85,$$$,54.32699694524351,,43.664467,-79.414783
153,Yasu,4.5,424,$$$$,951.1103184277173,,43.664467,-79.414783
154,Barrio Coreano,3.5,248,$$,28.268819739053892,,43.664467,-79.414783
155,Tofu Village - House of Soon Tofu,4.0,203,$$,165.40145089874312,,43.664467,-79.414783
156,Buk Chang Dong Soon Tofu,4.0,482,$$,202.1350880505349,,43.664467,-79.414783
157,La Carnita,4.0,544,$$,1025.736861207025,,43.664467,-79.414783
158,Rustle & Still Café,4.5,152,$,134.00064452712195,,43.664467,-79.414783
159,Sunrise House,4.0,215,$$,82.31401014583372,,43.664467,-79.414783
160,Joso's,4.5,171,$$$,583.389244005672,,43.675492,-79.388858
161,PLANTA Yorkville,4.0,500,$$,588.9538905913009,,43.675492,-79.388858
162,Trattoria Nervosa,4.0,390,$$,527.701472357161,,43.675492,-79.388858
163,Scaramouche Restaurant Pasta Bar & Grill,4.5,332,$$$$,1101.75714847867,,43.675492,-79.388858
164,The Oxley,4.0,173,$$,643.5698370095942,,43.675492,-79.388858
165,Café Boulud,3.5,274,$$$$,397.0766468699245,,43.675492,-79.388858
166,Sassafraz,3.5,409,$$$,604.5363793798506,,43.675492,-79.388858
167,Playa Cabana,4.0,471,$$,992.6443991615607,,43.675492,-79.388858
168,Blu Ristorante,4.0,173,$$$,672.7669012954885,,43.675492,-79.388858
169,Eataly Toronto,3.5,283,$$,653.4652177326158,,43.675492,-79.388858
170,Richmond Station,4.5,887,$$$,2790.278796190949,,43.675492,-79.388858
171,Ristorante Sotto Sotto,4.0,126,$$$,643.3016397903617,,43.675492,-79.388858
172,Black Camel,4.5,380,$,183.4669490267399,,43.675492,-79.388858
173,Bar Reyna,3.5,145,$$,717.2524405300016,,43.675492,-79.388858
174,Mineral,4.5,22,,243.74550419839568,,43.675492,-79.388858
175,Rasa,4.5,321,$$,1864.5533038839535,,43.675492,-79.388858
176,George Restaurant,4.5,295,$$$$,2723.0832256746867,,43.675492,-79.388858
177,Maison Selby,4.0,110,,1091.7966154168048,,43.675492,-79.388858
178,Dzo Viet Eatery,4.0,142,$$,2353.2599595768347,,43.675492,-79.388858
179,Wow Sushi,4.0,424,$$,792.8379931825065,,43.675492,-79.388858
180,Joso's,4.5,171,$$$,16.625474799236926,,43.674991,-79.396273
181,Scaramouche Restaurant Pasta Bar & Grill,4.5,332,$$$$,771.5193988890676,,43.674991,-79.396273
182,Playa Cabana,4.0,471,$$,409.3277197634617,,43.674991,-79.396273
183,The Oxley,4.0,173,$$,553.9309746610323,,43.674991,-79.396273
184,Ristorante Sotto Sotto,4.0,126,$$$,140.99111943611078,,43.674991,-79.396273
185,Osteria Giulia,4.5,30,$$$$,78.90409439813973,,43.674991,-79.396273
186,Blu Ristorante,4.0,173,$$$,294.86229897067506,,43.674991,-79.396273
187,Trattoria Nervosa,4.0,390,$$,605.7810658267275,,43.674991,-79.396273
188,PLANTA Yorkville,4.0,500,$$,763.5503813344125,,43.674991,-79.396273
189,Sassafraz,3.5,409,$$$,669.1673012886803,,43.674991,-79.396273
190,Rasa,4.5,321,$$,1492.7009086843466,,43.674991,-79.396273
191,Café Boulud,3.5,274,$$$$,682.6700869455744,,43.674991,-79.396273
192,Bar Reyna,3.5,145,$$,609.4965818080267,,43.674991,-79.396273
193,Mimi Chinese,4.0,47,,181.35680413505222,,43.674991,-79.396273
194,Gyubee Japanese Grill - Bloor,4.0,314,$$$,940.4055179470315,,43.674991,-79.396273
195,Richmond Station,4.5,887,$$$,2960.4593978220705,,43.674991,-79.396273
196,Fieramosca,4.5,110,$$$,610.7068917607007,,43.674991,-79.396273
197,Morton's The Steakhouse,4.0,143,$$$$,644.1445924033917,,43.674991,-79.396273
198,Eataly Toronto,3.5,283,$$,847.9549335646897,,43.674991,-79.396273
199,STK Steakhouse,3.5,220,$$$$,537.1119759160997,,43.674991,-79.396273
