Unnamed: 0,fsq_id,category_id,category_name,chains,distance,latitude,longitude,location_country,location_cross_street,location_formatted_address,location_locality,location_postcode,location_region,location_timezone,name
33,4ba52d58f964a52015e838e3,13031,Burger Joint,"[{'id': 'ab4a3530-d68a-012e-5619-003048cad9da', 'name': ""McDonald's""}]",98,43.653124,-79.375595,CA,at Queen St. E,"127 Church St (at Queen St. E), Toronto ON M5C 2G5",Toronto,M5C 2G5,ON,America/Toronto,McDonald's
34,4b8eaea1f964a520b03033e3,13049,Diner,"[{'id': '47e6f193-dc6a-475f-a49b-ffacf449fa12', 'name': 'Booster Juice'}]",154,43.65266,-79.378845,CA,Suite #110,"2 Queen St E (Suite #110), Toronto ON M5C 3G7",Toronto,M5C 3G7,ON,America/Toronto,Booster Juice
35,4ad9fc4bf964a520c81c21e3,11045,Bank,"[{'id': 'd5192150-d890-0132-61d3-7a163eb2a6fc', 'name': 'BMO Bank of Montreal'}]",5,43.663773,-79.380426,CA,at Alexander St.,"492 Church St (at Alexander St.), Toronto ON M4Y 2C8",Toronto,M4Y 2C8,ON,America/Toronto,BMO Bank of Montreal
36,4b5fdb7ff964a520ebce29e3,13064,Pizzeria,[],8,43.663917,-79.379982,CA,at Alexander St.,"447 Church St (at Alexander St.), Toronto ON M4Y 2C5",Toronto,M4Y 2C5,ON,America/Toronto,Express Pizza
37,4b1334e4f964a520829523e3,17029,Convenience Store,[],1,43.663865,-79.379927,CA,Alexander,"445 Church St (Alexander), Toronto ON M4Y 2C5",Toronto,M4Y 2C5,ON,America/Toronto,Maple Leaf Convenience Mart
39,4bdc45fe2a3a0f47c31ab2b6,16000,Landmarks and Outdoors,[],2,43.663779,-79.380334,CA,Church St.,"70 Alexander St (Church St.), Toronto ON M4Y 3B6",Toronto,M4Y 3B6,ON,America/Toronto,Alexander Wood Statue
42,4b654efaf964a520aeec2ae3,13011,Gay Bar,[],43,43.664198,-79.379979,CA,Alexander,"457 Church St (Alexander), Toronto ON M4Y 2C5",Toronto,M4Y 2C5,ON,America/Toronto,Black Eagle
43,5f8357d327c7356cbe5d2207,13064,Pizzeria,[],18,43.663884,-79.380444,CA,Alexander St,"500 Church St (Alexander St), Toronto ON M4Y 2C8",Toronto,M4Y 2C8,ON,America/Toronto,Pizza Studio
44,4da08d5da77d816e54dc1a09,10004,Art Gallery,[],23,43.663779,-79.380334,CA,Alexander St.,"500 Church St (Alexander St.), Toronto ON M4Y 2C8",Toronto,M4Y 2C8,ON,America/Toronto,Canadian Sculpture Centre
45,4b7c8d87f964a520999a2fe3,17018,Bookstore,[],44,43.657608,-79.390339,CA,University and College,"600 University Ave (University and College), Toronto ON M5G 1X5",Toronto,M5G 1X5,ON,America/Toronto,Indigospirit
46,4ad4c064f964a52070f820e3,15014,Hospital,[],131,43.658716,-79.388225,CA,at Gerrard St W,"190 Elizabeth St (at Gerrard St W), Toronto ON M5G 2C4",Toronto,M5G 2C4,ON,America/Toronto,Toronto General Hospital
47,4ad4c064f964a5206ef820e3,15014,Hospital,[],215,43.657254,-79.387478,CA,at Gerrard St.,"555 University Ave (at Gerrard St.), Toronto ON M5G 1X8",Toronto,M5G 1X8,ON,America/Toronto,Hospital For Sick Children
48,5187d8e9498e1f88b1f50ec7,17018,Bookstore,"[{'id': 'a050b295-4a43-4d68-ab40-2df63d9c90ab', 'name': 'Indigo'}]",40,43.657694,-79.389932,CA,at Gerrard St. W,"600 University Ave (at Gerrard St. W), Toronto ON M5G 1X5",Toronto,M5G 1X5,ON,America/Toronto,Indigo
