,name,latitude,longitude,bikes_available
138,Pacific Ave / Glenlake Ave,43.65716,-79.46478,4
139,Broadview Subway Station,43.6772,-79.35858,6
140,Church St  / Wood St,43.662712,-79.379903,19
141,College Park - Gerrard Entrance,43.658938,-79.383518,22
142,Danforth Ave / Coxwell Ave,43.683378,-79.322961,2
143,12 Harbour St,43.6425636,-79.3762,8
144,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,7
145,Yonge St / Bloor St,43.669969,-79.386532,6
146,Dufferin Gate - SMART,43.633473,-79.425679,11
147,Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,10
148,Bloor St W / Shaw Ave - SMART,43.662403,-79.423098,26
149,Concord Av / Dewson St,43.656945,-79.424911,8
150,Hocken Ave / Vaughan Rd,43.6817346,-79.4184725,1
151,St Clair Ave W / Bathurst St.,43.683296,-79.418734,10
152,Queen St E / Nursewood Rd,43.673831,-79.281455,16
153,Kew Beach Ave / Kenilworth Ave,43.666325,-79.3014,17
154,Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742,4
155,Baldwin St / Spadina Ave - SMART,43.654905,-79.398448,11
156,Frederick St / King St E,43.651118,-79.369411,22
157,College St / Borden St,43.6571,-79.4056,5
158,Beverley  St / Dundas St W,43.652823,-79.393388,9
159,Bay St / St. Joseph St,43.665527,-79.387499,8
160,Gould St / Mutual St,43.6582,-79.3768,8
161,Riverdale Park North (Broadview Ave),43.671172,-79.354704,1
162,Danforth Ave / Ellerbeck St,43.677076,-79.35667,8
163,Pape Subway Station (Green P),43.680223,-79.344062,2
164,Danforth Ave / Gough Ave,43.678401,-79.346289,3
165,Danforth Ave / Lamb Ave,43.681991,-79.329455,3
166,King St W / Stafford St,43.6422222,-79.41111111111111,12
167,Bathurst St / Lennox St,43.663808,-79.410491,11
168,Bathurst Subway Station,43.6666667,-79.41166666666668,5
169,Bloor St W / Christie St,43.6638889,-79.41888888888889,2
170,Ossington Ave / Bloor St W,43.661705,-79.425734,2
171,Essex St / Christie St - SMART,43.6686111,-79.42027777777778,1
172,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,9
173,Havelock St / Dufferin Park,43.657343,-79.43112,7
174,Bathurst St / Adelaide St W,43.645324,-79.40345,21
175,Mill St / Parliament St,43.650256,-79.36163,3
176,Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,13
177,80 Clinton St,43.656296,-79.414663,7
178,Claremont St / Dundas St W,43.651281,-79.411717,4
179,Rusholme Park Cres / College St,43.65277778,-79.42972222,8
180,College St / Crawford St,43.655,-79.418889,9
181,Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,15
182,Queen St E / Alton Av,43.663912,-79.327987,5
183,Simcoe St / Wellington St W North,43.6462176,-79.3855048,6
184,Coxwell Ave / Plains Rd,43.69595,-79.328535,7
185,Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,10
186,Logan Ave / Bain Ave,43.6720273,-79.3470557,5
187,Liberty St / Fraser Ave Green P,43.637981,-79.424146,12
188,King St W / Douro St,43.640885,-79.416379,9
189,Queen St E / Berkeley St,43.6552778,-79.36583333333333,13
190,Howard St / Sherbourne St,43.6712581,-79.376367,5
191,Carlton St / Parliament St,43.664524,-79.36793,21
192,Sumach St / Carlton St. (Riverdale Farm),43.665867,-79.362506,13
193,King St W / Bay St (East Side),43.648575,-79.380042,12
194,Front St W / Blue Jays Way,43.643473,-79.390477,9
195,Metro Hall Plaza,43.645859,-79.38783,25
196,Parliament St / Gerrard St,43.662132,-79.3656796,9
197,Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,9
198,Jarvis St / Carlton St,43.66207,-79.37617,11
199,Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,7
200,Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,14
201,Yonge St / Dundonald St - SMART,43.665801,-79.384796,5
202,Bay St / Charles St W - SMART,43.668153,-79.38891,4
203,Church St / Dundas St E - SMART,43.657024,-79.377257,4
204,Yonge St / Alexander St - SMART,43.662862,-79.383572,13
205,Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,0
206,Balliol St / Yonge St  SMART,43.6978701,-79.39419,0
207,Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,0
208,Front St E / Scott St,43.6476616,-79.37549,6
209,Frederick St / The Esplanade,43.6487245,-79.36839,15
210,King St W / Bay St (West Side),43.64852,-79.380576,4
211,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,7
212,King St W / Spadina Ave,43.645323,-79.395003,5
213,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,3
214,Queens Quay / Yonge St,43.641646,-79.375308,16
215,Front St W / Bay St (North Side),43.646162,-79.378912,4
216,Danforth Ave / Westlake Ave,43.687323,-79.304848,4
217,Jarvis St / Isabella St,43.668991,-79.379385,18
218,Yonge St / Wood St,43.6622222,-79.3825,11
219,King St W / Tecumseth St,43.64333333333333,-79.40555555555557,14
220,Beverley St / College St,43.6575,-79.39527777777778,20
221,Gould St / Yonge St (Ryerson University),43.657424,-79.381019,8
222,Front St W / Bay St (South Side),43.64595,-79.378761,3
223,Charles St W / Balmuto St - SMART,43.668427,-79.38725,15
224,Charles St E / Jarvis St - SMART,43.669604,-79.381171,12
225,Queen St E / Pape Ave - SMART,43.661673,-79.337789,12
226,Gerrard St E / Broadview - SMART,43.665656,-79.352055,11
227,Humber Bay Shores Park East,43.6308933,-79.4722622,20
228,Humber Bay Shores Park West,43.6224434,-79.480284,17
229,Taddle Creek Park,43.66986,-79.398443,5
230,Thompson St / Broadview Ave - SMART,43.659471,-79.350325,10
231,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,18
232,Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,11
233,King / Cowan Ave - SMART,43.637922,-79.431734,10
234,Garden Ave / Roncesvalles Ave,43.643769,-79.447915,10
235,Sorauren Ave / Geoffrey St - SMART,43.649172,-79.4445087,9
236,Bloor St W / Manning Ave - SMART,43.663912,-79.416124,2
237,Simcoe St / Wellington St W South,43.6458569,-79.3853654,18
238,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,6
239,Berkeley St / Dundas St E - SMART,43.658816,-79.367318,17
240,128 Sterling Rd - SMART,43.654004,-79.444792,7
241,Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,10
242,Sackville St / Eastern Ave - SMART,43.653809,-79.3595,7
243,Davenport Rd / McAlpine St - SMART,43.673768,-79.391253,7
244,Sumach St  / Queen St E,43.656638,-79.358749,5
245,Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,4
246,Gerrard St E / Main St,43.684261,-79.299332,2
247,Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,7
248,Neil McLellan Park,43.65143,-79.47779,6
249,Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477,9
250,Antler St / Campbell Ave - SMART,43.664182,-79.449066,10
251,Clarence Square,43.64407,-79.3929,16
252,Lake Shore Blvd W / Louisa St,43.61868,-79.48674,12
253,Front St W / Simcoe St,43.6442,-79.38702,9
254,Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,6
255,Glendonwynne Ave / Bloor St W,43.65182,-79.47421,9
256,Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,4
257,Church St / Lombard St,43.651678,-79.375233,15
258,Richmond St E / Yonge St,43.651838,-79.378743,8
259,High Park Amphitheatre,43.645653,-79.464366,1
260,Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,11
261,Pottery Rd / Lower Don River Trail,43.688148,-79.362101,10
262,Bleecker St / St James Ave,43.669232,-79.374495,4
263,Western Battery Rd / Pirandello St,43.640075,-79.414156,17
264,Carlaw Ave / Danforth Ave,43.678285,-79.347346,8
265,Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,5
266,Goodwood Park Ct / Dentonia Park,43.694826,-79.295208,2
267,Eastwood Rd / Coxwell Ave,43.673118,-79.318651,13
268,Trent Ave / Danforth Ave,43.689293,-79.295895,1
269,Orchard Park,43.66908,-79.3149,9
270,Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,3
271,Martin Goodman Trail / Remembrance Dr,43.63121,-79.41414,0
272,Concord Ave / Bloor St W,43.66189,-79.42679,3
273,Gothic Ave / Quebec Ave,43.65389,-79.4675,7
274,Via Italia / Mackay Ave,43.676697,-79.445029,4
275,Rushton Rd / St Clair Ave W,43.68114,-79.4277,3
276,Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,11
277,Gerrard St E / Leslie St,43.669813,-79.3335,16
278,Marilyn Bell Park Tennis Court,43.633537,-79.437461,15
